window,classical_l2,classical_turnover,shrink_l2,shrink_turnover,bootstrap_l2,bootstrap_turnover,parametric_l2,parametric_turnover,unified_l2,unified_turnover,1N_l2,1N_turnover
14,0.1230188174382647,0.3178877695891704,0.12320766859739227,0.3181634468424292,0.0667014696290802,0.17732189103779386,0.08002734615986565,0.21910646223184513,0.08735736055313993,0.2344063069424677,0.0,0.0
15,0.08069810840318588,0.23532358213449284,0.07390488571479559,0.22005720144807717,0.0487417213106826,0.15281854529366365,0.04990413208574571,0.15355875027702526,0.05464009743510964,0.17219577685470905,0.0,0.0
16,0.186254151224719,0.5066283789311053,0.17530515055611695,0.4798983013676994,0.08714443220228246,0.2735196902067215,0.11480267548676566,0.3241488732488461,0.12446441676940381,0.3525689291052951,0.0,0.0
17,0.13295146071008293,0.371637825070359,0.12947514684034664,0.36695971466287747,0.07147007582216926,0.21820633501612202,0.08729256591263551,0.2604521362805554,0.09504925274440071,0.2774848318174323,0.0,0.0
18,0.08930167821492796,0.26000808521698704,0.08649452304988937,0.25940574924232274,0.037241141123107606,0.1326279918398876,0.04973488748563869,0.168844646355353,0.05554954184636399,0.1831553131231868,0.0,0.0
19,0.061547990850727326,0.20641054393454908,0.060392817659336774,0.2084215481691203,0.03235483058882775,0.1068910381040061,0.03570252285649537,0.1277418986638,0.04010926945190524,0.1367235932668158,0.0,0.0
20,0.1026736725675752,0.27363380283766137,0.10491488472500618,0.30078722477150455,0.06103107828368174,0.193245541853903,0.06671181677207197,0.21782876046209265,0.07525923505996893,0.2302580906568429,0.0,0.0
21,0.10649264680503781,0.2799400498024419,0.10509894953296783,0.2786114177814371,0.07622550786518549,0.2034962903887517,0.07960389604051928,0.21761823915561399,0.08513689050012771,0.23065518455931466,0.0,0.0
22,0.10533023292063796,0.29732493994535764,0.10402207915337709,0.3008402029614271,0.04952429931009842,0.15607931862272154,0.06426611718685399,0.20708517120091605,0.06971542460386339,0.21698175778153195,0.0,0.0
23,0.11658006531138812,0.2908252712478423,0.11865379756507727,0.28804137727290047,0.0642127451995391,0.19136132318712934,0.07672219227641901,0.2108515113914369,0.08513032936940222,0.22991686096134403,0.0,0.0
24,0.03993712068308977,0.10776573661506067,0.04164220870780005,0.11221259148239254,0.02910257639926018,0.09862173632356996,0.030563933967094458,0.09829613011099492,0.030073176313787413,0.09950107323871367,0.0,0.0
25,0.09008767122952661,0.2411053047614306,0.09036916202732619,0.24207105571036744,0.065006300328782,0.19836129444802728,0.0524927435763705,0.16411623917926502,0.06746878345267113,0.19883907324742348,0.0,0.0
26,0.04980912765758295,0.14324761094009544,0.05182810081494505,0.15348308901434277,0.04212285975718892,0.13860969607368637,0.040962567605576185,0.12431205257376365,0.04260163268858685,0.13314107558643276,0.0,0.0
27,0.18847715856788333,0.45588236236508406,0.1810710057399539,0.4871424622372436,0.0918511861001607,0.25950793616689705,0.12248253930237361,0.33345568389638963,0.12980179660056074,0.35199876063918467,0.0,0.0
28,0.08538055926664935,0.2586515220979958,0.07655933245705994,0.2337014152769527,0.041019828298585484,0.13532302750519695,0.05136620598427,0.16581208029598185,0.053521306701599144,0.17320281211711278,0.0,0.0
29,0.07550544718553985,0.18585423917285598,0.07159797486018193,0.18091131198909852,0.054714824296284555,0.1581963309633277,0.05155660430960213,0.15191863808835504,0.05662083507212438,0.15962885788898387,0.0,0.0
30,0.1233198577499064,0.320775368318054,0.11515727260418675,0.2960388394072666,0.06206301892734252,0.1934745910466065,0.0803397815799302,0.22129236100940183,0.083824782673276,0.23190814828360307,0.0,0.0
31,0.10930104511170118,0.28431458680777005,0.10588283331718217,0.27748733254334823,0.06340313863721161,0.1890177338269848,0.06918096661595502,0.19823675916210898,0.07836322599716193,0.21740260257375943,0.0,0.0
32,0.08319632795368932,0.17151031006774595,0.07353222654341832,0.1513214436772,0.04893783732988199,0.14280155227802135,0.06880739932703196,0.16585735073492355,0.06147838968961368,0.14625258763275487,0.0,0.0
33,0.061221979652647314,0.1889839528750885,0.06520337417833655,0.1956015909616433,0.040931191512776376,0.13321175758116488,0.0475257308296354,0.15975724873392827,0.049632232470594596,0.15804615861781673,0.0,0.0
34,0.13454402832736637,0.346079241426042,0.1252641060413446,0.34008900688535815,0.07781083261744909,0.24592854959150587,0.08148990642450202,0.2239127285058364,0.09300420298050578,0.25801668925206117,0.0,0.0
35,0.12708688715393518,0.38539223097976405,0.13462506953768572,0.4004664423431371,0.05235706095209819,0.17009379843957695,0.07789219803526061,0.2463453006012274,0.08656665319689819,0.26941123495621067,0.0,0.0
